Feature_name,mean_mae,sd,rank,mean_within_mae,within_sd,within_rank
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.17002681592666333,0.09719564144284285,92,0.16117922783646757,0.09670667587863462,147
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,0.1596789700921231,0.07261775498016541,65,0.14724587988453283,0.07170032379377049,105
wavelet-LLH_firstorder_Mean,0.20908291004403662,0.38955479597352144,61,0.12737613800763598,0.07742341929745135,73
wavelet-HLL_firstorder_Mean,0.1263560984390798,0.10556881080489015,34,0.09388068425477511,0.08080578864364173,30
wavelet-LLH_glcm_Autocorrelation,0.21675598473551655,0.1365432627069415,141,0.20672078239568342,0.1333164278468177,232
wavelet-LLL_firstorder_Median,0.21347765504996605,0.6230960080602325,27,0.09058545653836156,0.079850005830248,29
original_firstorder_Median,0.6330280745765894,3.0440973384984633,26,0.12570668241746438,0.18686791410659245,32
wavelet-LLH_glcm_JointAverage,0.217752078947639,0.14618985924675137,125,0.2078032693991997,0.1422788313063667,213
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.21243291869973416,0.13744437698328518,129,0.20289241456873972,0.13385770421742155,210
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.21243291869973413,0.1374443769832851,129,0.20289241456873972,0.1338577042174215,210
wavelet-LLL_glcm_DifferenceVariance,0.14434973550047375,0.16043970449838835,34,0.0868128648268029,0.060689751012350315,32
wavelet-LLH_glcm_ClusterShade,0.3114478652986829,0.26220999537996087,195,0.28144229667240517,0.21044563132364424,261
wavelet-LHH_gldm_GrayLevelNonUniformity,0.13879192210320324,0.09570155871396441,42,0.11022496792473895,0.062352250971432883,58
wavelet-LLL_glcm_Correlation,0.14433967765358818,0.06500075199655972,57,0.138249317522334,0.060367113653605364,111
wavelet-LLH_glrlm_RunEntropy,0.20125787024203648,0.07754121684745312,130,0.1896760131369592,0.06626407513312813,242
wavelet-LLL_firstorder_90Percentile,0.1884453763492782,0.33247739281293326,58,0.10976635269797633,0.046316367409865875,73
wavelet-LLH_firstorder_Median,0.22682355568721102,0.42405134796797134,63,0.14712990037540838,0.10501748910383428,99
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.2727899550415957,0.1387094898764468,198,0.2537909769225293,0.13199244720758835,304
wavelet-LLH_glrlm_HighGrayLevelRunEmphasis,0.22780370341197131,0.11987879488072821,186,0.21665071770742747,0.11961783346757947,235
wavelet-LLH_glrlm_LowGrayLevelRunEmphasis,0.22780370341197134,0.1198787948807282,186,0.2166507177074275,0.11961783346757944,235
wavelet-LLH_firstorder_90Percentile,0.25122909933305765,0.24115872347282125,135,0.20194104615991376,0.08262684385454798,198
wavelet-LLH_glcm_Imc1,0.3291278757132848,0.16895400543613925,348,0.3208947068991834,0.16660102322949846,440
wavelet-LLL_glcm_Contrast,0.13120763480536388,0.19625108301819028,21,0.07485256933067727,0.061935587162740016,21
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.13362026119875298,0.047865044799904805,49,0.11626717524842567,0.039460901624132065,74
wavelet-LLL_firstorder_10Percentile,0.39308088205408914,1.3100503604187768,60,0.13915504053032507,0.1568089854464413,65
wavelet-LLH_glrlm_LongRunEmphasis,0.125218750395489,0.039394045909686176,45,0.10871332178005738,0.03059132440799862,62
wavelet-LLH_gldm_GrayLevelNonUniformity,0.0994961017323003,0.03590303870767514,31,0.08654188648356516,0.024033519836809868,44
wavelet-LLH_glcm_ClusterTendency,0.29511612371817014,0.24261624346431898,156,0.25947145527002774,0.1949386009761557,243
wavelet-LLL_glcm_ClusterTendency,0.15751705722928033,0.20952339017291055,44,0.114512935798986,0.053021619977499525,71
wavelet-LLL_firstorder_Variance,0.14067859620347506,0.179920606515483,35,0.0941808374406919,0.04233425865148679,44
