Feature_name	mean_mae	sd	rank	mean_within_mae	within_sd	within_rank
wavelet-LLH_firstorder_Variance	0.3180310716201668	0.26607459507188275	242	0.28886426565726037	0.12955473090221262	363
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis	0.3923197920331358	0.1468533282631612	363	0.3832201069918721	0.14813593630439426	513
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis	0.3882160900963804	0.14423953227849756	358	0.3786746394790907	0.1461582843169188	514
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis	0.369564208562754	0.14009586602355759	331	0.3574977003952513	0.14422613561278078	477
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis	0.4291199893486328	0.16924480937158773	430	0.42039276997864833	0.16642305444572933	564
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis	0.30627259104910737	0.1437125811812604	237	0.28106113735044846	0.1514239741416354	324
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized	0.38439360838577524	0.17169073286688274	361	0.36950985387615604	0.15588058483829145	487
wavelet-LLH_glszm_GrayLevelVariance	0.38439360838577524	0.17169073286688277	361	0.36950985387615604	0.1558805848382915	487
wavelet-HLH_firstorder_Mean	0.2588698617036085	0.10553840432708356	165	0.24980515947068047	0.1039893629306863	277
wavelet-HHL_glcm_ClusterShade	0.5991410659864135	0.9054957967694245	423	0.5853219259711755	0.845850413963435	589
wavelet-LHL_gldm_LowGrayLevelEmphasis	0.3907982478051073	0.14879272884017197	369	0.3819998016136622	0.15005344409509125	514
wavelet-LHH_glrlm_GrayLevelVariance	0.3022553432672136	0.09366881841850909	268	0.26904473266380063	0.09156410960079857	340
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized	0.30225534326721354	0.09366881841850931	267	0.2690447326638006	0.09156410960079882	339
wavelet-LLL_glcm_JointEnergy	0.27625514891351516	0.13154034655165717	211	0.19220951532230066	0.09928371470480121	171
wavelet-LLL_gldm_DependenceEntropy	0.3739515581231939	0.12897626235474113	337	0.350653076504722	0.1166303841989817	459
wavelet-LHH_firstorder_Kurtosis	0.39269020002565136	0.1415691861088092	392	0.3544861161725604	0.14332963239643776	458
wavelet-HLL_glcm_ClusterProminence	1.6516567686717407	12.348014969007561	145	0.6655384323352062	3.9071419318410285	179
wavelet-LLH_gldm_DependenceNonUniformityNormalized	0.2515065473775148	0.07203491344568604	190	0.22986252464023763	0.07225110025028708	258
wavelet-LLL_ngtdm_Complexity	0.24168938421216807	0.40080593979978313	75	0.16516972789022294	0.12891923382245488	97
wavelet-LHH_firstorder_Skewness	0.410756131599642	0.1246467515425514	409	0.3856939367278361	0.12484614548227811	523
original_glszm_LargeAreaLowGrayLevelEmphasis	0.2872967146991484	0.15470259571656741	226	0.21828975658088143	0.16187201924027125	198
original_gldm_LargeDependenceLowGrayLevelEmphasis	0.3202519462809887	0.15380131016436407	263	0.2453909164719781	0.16448185009218172	243
wavelet-HLH_glcm_JointEnergy	0.3225920781284252	0.10277393430454361	290	0.27326019916273886	0.09702948495635205	325
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis	0.3331921436453518	0.1349635865445802	274	0.3090555901598521	0.1323107169582527	363
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis	0.3249218905531401	0.15919496284042206	261	0.30109866977668825	0.162623581351423	336
original_glcm_Correlation	0.36806519404468013	0.2480139985523939	260	0.16859807460354276	0.07527165736103972	136
wavelet-LLL_glcm_DifferenceVariance	0.15232509357867757	0.16517177750898687	42	0.11082766643540642	0.06959004282327538	48
original_glszm_ZoneVariance	0.2553102508306382	0.1437272633153316	173	0.1609023225663103	0.13264185151086075	86
wavelet-HLL_ngtdm_Coarseness	0.4292503512441885	0.15017729241191186	451	0.31071267560059346	0.10355763651356915	403
wavelet-HLH_glrlm_GrayLevelVariance	0.2890661186926114	0.09357749866013076	230	0.2510979537094654	0.09467519464437174	292
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized	0.2890661186926113	0.09357749866013072	229	0.2510979537094653	0.09467519464437156	291
wavelet-LLL_ngtdm_Contrast	0.2058155023891557	0.149926419295432	96	0.16785933061157562	0.07429932535797905	144
