filter,feature_class,Feature_name,mae.y,rank
wavelet-HHL,glcm,wavelet-HHL_glcm_DifferenceVariance,3.1969073773618684,784
wavelet-HHL,glcm,wavelet-HHL_glcm_Id,0.6815449014168397,629
wavelet-HHL,glcm,wavelet-HHL_glcm_Idm,0.5509556927109942,569
wavelet-HHL,glcm,wavelet-HHL_glcm_Idmn,0.5066048150108744,541
wavelet-HHL,glcm,wavelet-HHL_glcm_Idn,0.4490657211123814,493
wavelet-HHL,glcm,wavelet-HHL_glcm_Imc1,0.5537410212735002,572
wavelet-HHL,glcm,wavelet-HHL_glcm_Imc2,0.11249635963604313,20
wavelet-HHL,glcm,wavelet-HHL_glcm_InverseVariance,0.48368853774518195,521
wavelet-HHL,glcm,wavelet-HHL_glcm_JointAverage,1.2594004777053067,739
wavelet-HHL,glcm,wavelet-HHL_glcm_JointEnergy,0.3871982414920697,414
wavelet-HHL,glcm,wavelet-HHL_glcm_JointEntropy,0.7082162183874644,642
wavelet-HHL,glcm,wavelet-HHL_glcm_MaximumProbability,0.5046224372460935,538
wavelet-HHL,glcm,wavelet-HHL_glcm_SumEntropy,0.782757948048044,659
wavelet-HHL,glcm,wavelet-HHL_glcm_SumSquares,3.4289633381933893,785
wavelet-HHL,gldm,wavelet-HHL_gldm_DependenceEntropy,1.2257482655449485,734
wavelet-HHL,gldm,wavelet-HHL_gldm_DependenceNonUniformity,0.8632436796864341,681
wavelet-HHL,gldm,wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.6564961349415622,620
wavelet-HHL,gldm,wavelet-HHL_gldm_DependenceVariance,0.38312197152173233,408
wavelet-HHL,gldm,wavelet-HHL_gldm_GrayLevelNonUniformity,0.2460587932607915,157
wavelet-HHL,gldm,wavelet-HHL_gldm_GrayLevelVariance,3.5019968291086006,789
wavelet-HHL,gldm,wavelet-HHL_gldm_HighGrayLevelEmphasis,2.1365273206830024,773
wavelet-HHL,gldm,wavelet-HHL_gldm_LargeDependenceEmphasis,0.3411433121891195,348
wavelet-HHL,gldm,wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,1.2428990935894113,737
wavelet-HHL,gldm,wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.27221814479567485,214
wavelet-HHL,gldm,wavelet-HHL_gldm_LowGrayLevelEmphasis,0.3307210531454055,326
wavelet-HHL,gldm,wavelet-HHL_gldm_SmallDependenceEmphasis,0.43465753664743995,473
wavelet-HHL,gldm,wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,2.372363754962446,780
wavelet-HHL,gldm,wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.3373838827540167,340
wavelet-HHL,glrlm,wavelet-HHL_glrlm_GrayLevelNonUniformity,0.26198489769636113,195
wavelet-HHL,glrlm,wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.5013625831208923,534
wavelet-HHL,glrlm,wavelet-HHL_glrlm_GrayLevelVariance,3.4935860734647104,788
wavelet-HHL,glrlm,wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,2.1413807039147486,774
wavelet-HHL,glrlm,wavelet-HHL_glrlm_LongRunEmphasis,0.3451002241171373,351
wavelet-HHL,glrlm,wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,1.9837907683496,769
wavelet-HHL,glrlm,wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.32521439631504867,317
