filter,feature_class,feature,Feature_name,mae,rank
original,gldm,LargeDependenceEmphasis,original_gldm_LargeDependenceEmphasis,0.46913023626806843,585
original,gldm,LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.3270719322592742,330
original,gldm,LargeDependenceLowGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.3186904347844327,308
original,gldm,LowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,0.3735364034184628,427
original,gldm,SmallDependenceEmphasis,original_gldm_SmallDependenceEmphasis,0.6022545806995663,718
original,gldm,SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.7067784810687094,755
original,gldm,SmallDependenceLowGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.3942166663684787,461
original,glrlm,GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformity,0.43200495547490597,525
original,glrlm,GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelNonUniformityNormalized,0.5113638394307336,636
original,glrlm,GrayLevelVariance,original_glrlm_GrayLevelVariance,0.1348816010983029,60
original,glrlm,HighGrayLevelRunEmphasis,original_glrlm_HighGrayLevelRunEmphasis,0.5558731854422124,675
original,glrlm,LongRunEmphasis,original_glrlm_LongRunEmphasis,0.4880376626243657,607
original,glrlm,LongRunHighGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,0.4848549204512396,604
original,glrlm,LongRunLowGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,0.36330521404910854,410
original,glrlm,LowGrayLevelRunEmphasis,original_glrlm_LowGrayLevelRunEmphasis,0.3733383393881324,426
original,glrlm,RunEntropy,original_glrlm_RunEntropy,0.5566113434595484,676
original,glrlm,RunLengthNonUniformity,original_glrlm_RunLengthNonUniformity,0.20817151843112705,123
original,glrlm,RunLengthNonUniformityNormalized,original_glrlm_RunLengthNonUniformityNormalized,0.5207442471968782,646
original,glrlm,RunPercentage,original_glrlm_RunPercentage,0.5194963607248495,644
original,glrlm,RunVariance,original_glrlm_RunVariance,0.4774818634924816,597
original,glrlm,ShortRunEmphasis,original_glrlm_ShortRunEmphasis,0.4987625144634439,619
original,glrlm,ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,0.5759582811018159,698
original,glrlm,ShortRunLowGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,0.37579369343099583,429
original,glszm,GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformity,0.40947434998627474,495
original,glszm,GrayLevelNonUniformityNormalized,original_glszm_GrayLevelNonUniformityNormalized,0.5384743820124342,658
original,glszm,GrayLevelVariance,original_glszm_GrayLevelVariance,0.127897357195335,54
original,glszm,HighGrayLevelZoneEmphasis,original_glszm_HighGrayLevelZoneEmphasis,0.543493145433722,665
original,glszm,LargeAreaEmphasis,original_glszm_LargeAreaEmphasis,0.39301440610053123,460
original,glszm,LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,0.3236967548808748,324
